,liste_urls_tables_boamp_t1_2021_github
0,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_03_typepouvoiradjudicateur.csv
1,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_G_02_marche.csv
2,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_04_activiteprincipale.csv
3,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_21_annexed4.csv
4,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_D_02_typeorganisme.csv
5,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_14_conditionparticipationsystmequalif.csv
6,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_13_conditionparticipation.csv
7,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_D_20_annexed3.csv
8,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_G_04_indexation.csv
9,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_D_18_annexed1.csv
10,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_D_06_procedure.csv
11,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_06_procedure.csv
12,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_11_conditiondelai.csv
13,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_05_objet.csv
14,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_G_01_reference.csv
15,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_D_04_activiteprincipale.csv
16,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_G_01_reference.csv
